DOY,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,106,126,101,26,89,13,23,60,8,40,24,55,284,36,20,87,63
2,250,222,553,58,245,36,233,143,45,314,167,572,412,208,92,373,308
3,328,367,1123,178,322,93,345,207,182,430,220,876,902,399,165,446,536
4,987,429,1576,206,420,130,606,317,243,628,371,990,1257,1007,283,643,1044
5,1209,574,2598,311,472,264,665,607,343,781,468,1192,1357,1149,398,788,1301
6,1616,602,2877,352,664,330,1002,768,362,914,679,1261,1759,1320,589,809,1341
7,2117,1037,3820,406,821,491,1124,1132,401,988,875,1326,1949,1582,645,886,1368
8,2222,1123,4184,420,955,504,1198,1225,432,1131,1102,1390,2384,1636,722,927,1414
9,2554,1279,4626,464,1145,547,1282,1240,483,1208,1294,1471,2522,2464,845,972,1485
10,2805,1481,4932,479,1212,619,1400,1268,519,1296,1381,1552,2740,2642,935,1036,1554
11,3184,1507,5121,514,1304,745,1508,1345,625,1379,1404,1616,2810,2938,1160,1160,1574
12,3625,1660,5702,534,1375,857,1644,1474,689,1486,1507,1641,2904,3350,1199,1259,1616
13,3860,1701,5795,576,1511,993,1765,1517,742,1645,1554,1664,3006,3456,1248,1332,1730
14,4068,1731,6210,709,1547,1032,2132,1576,791,1706,1609,1725,3057,4105,1275,1474,1769
15,4197,1859,6278,1106,1607,1055,2214,1601,807,1767,1640,1739,3157,4339,1314,1519,1911
16,4310,1928,6432,1195,1670,1079,2245,1731,823,1808,1715,1845,3243,4900,1365,1660,1996
17,4439,1959,6573,1456,1925,1113,2276,1794,836,1842,1749,1937,3349,5153,1388,1735,2368
18,4551,1978,6591,1508,2124,1133,2291,1874,884,1852,1872,2034,3419,5831,1391,1964,2423
19,4676,2050,6604,1687,2264,1144,2326,2096,900,1879,1910,2131,3476,6116,1412,2019,2493
20,4725,2110,6689,1947,2439,1154,2347,2183,936,1949,1916,2175,3524,6185,1479,2148,2542
21,5034,2189,6708,2057,2495,1180,2392,2327,997,1992,1994,2259,3584,6626,1516,2291,2655
22,5107,2355,6730,2293,2788,1200,2416,2382,1047,2027,2059,2396,3673,6962,1531,2345,2752
23,5250,2369,6751,2367,2932,1222,2437,2464,1119,2067,2133,2481,3731,7910,1547,2439,2832
24,5346,2484,6778,3041,3074,1275,2462,2608,1159,2076,2179,2591,3804,8165,1592,2499,3023
25,5452,2546,6821,3196,3203,1300,2477,2647,1275,2111,2208,2600,3845,8877,1657,2594,3081
26,5758,2777,6890,3619,3324,1371,2491,2701,1290,2135,2261,2705,3880,9213,1694,2629,3344
27,5780,2936,6966,3717,3398,1393,2537,2757,1389,2171,2323,2718,3943,9391,1731,2655,3400
28,6026,3093,7023,3871,3454,1493,2556,2804,1408,2205,2361,2808,4179,10184,1749,2815,3453
29,6071,3292,7050,3993,3531,1549,2602,2985,1420,2245,2377,2841,4242,10268,1770,2857,3504
30,6171,3314,7260,4069,3668,1624,2621,3014,1448,2305,2427,2909,4485,11466,1789,3034,3628
31,6227,3528,7295,4146,3718,1685,2635,3028,1549,2374,2451,2927,4851,11626,1815,3142,3663
32,6266,3564,7306,4205,3848,1694,2683,3043,1587,2398,2496,2961,4890,11925,1868,3242,3807
33,6402,3603,7311,4241,3887,1801,2694,3092,1601,2419,2524,2994,5123,11985,1877,3321,3899
34,6418,3708,7326,4282,3997,1810,2713,3144,1662,2469,2547,3031,5197,12094,1963,3353,3923
35,6508,3723,7349,4339,4144,1855,2769,3369,1685,2482,2570,3121,5252,12262,2010,3513,4188
36,6581,3823,7418,4428,4184,1882,2803,3455,1725,2561,2601,3163,5376,12400,2059,3534,4246
37,6791,3859,7649,4437,4464,1895,2930,3658,1749,2610,2613,3265,5403,12492,2113,3718,4396
38,6858,4109,7768,4499,4489,1922,2943,3693,1779,2729,2614,3276,5635,12752,2159,3751,4530
39,6918,4119,8206,4537,4717,1976,2956,3704,1825,2907,2633,3282,5715,13000,2183,3917,4608
40,6983,4201,8301,4585,4792,2016,2974,3717,1837,2930,2650,3316,5732,13493,2200,4089,4736
41,7328,4277,8350,4599,4899,2079,3002,3733,1870,2996,2658,3345,5808,13738,2226,4107,4753
42,7462,4306,8460,4628,4940,2107,3021,3780,1880,3032,2674,3358,5846,13975,2230,4162,4946
43,7508,4357,8483,4744,4985,2133,3043,3964,1938,3062,2691,3362,5988,14374,2299,4204,5006
44,7872,4372,8533,4756,5029,2237,3070,4012,1942,3124,2704,3396,6116,14568,2314,4262,5093
45,7939,4391,8563,5031,5052,2269,3075,4492,1942,3126,2740,3423,6273,14674,2365,4290,5122
46,8192,4396,8699,5051,5253,2329,3095,4564,1944,3129,2768,3455,6380,14973,2398,4382,5284
47,8552,4492,8798,5125,5283,2357,3108,5034,1949,3133,2821,3506,6494,15195,2411,4437,5345
48,8663,4496,8817,5162,5443,2380,3112,5129,1981,3172,2943,3514,6538,15666,2432,4517,5369
49,8955,4546,8989,5177,5545,2439,3117,5248,1982,3204,2996,3723,6564,16117,2440,4540,5478
50,9000,4546,9023,5207,5648,2449,3146,5298,1983,3232,3122,3728,6614,16239,2483,4605,5523
51,9378,4573,9106,5253,6019,2461,3272,5376,1985,3297,3142,3846,6648,16309,2489,4782,5604
52,9484,4624,9136,5301,6108,2464,3282,5391,1998,3304,3327,3863,6883,16405,2514,4807,5686
53,9545,4627,9249,5359,6248,2504,3372,5415,2013,3353,3352,3868,6918,16444,2524,4921,5781
54,9609,4660,9298,5448,6255,2514,3403,5493,2068,3373,3422,3875,6936,16562,2569,4962,6069
55,9773,4670,9357,5511,6386,2605,3412,5595,2091,3383,3442,3902,6963,16578,2594,4973,6239
56,10044,4719,9419,5561,6461,2625,3429,5649,2100,3389,3460,3921,7034,16659,2605,5022,6681
57,10155,4731,9505,5583,6671,2644,3461,5712,2131,3412,3490,3957,7085,16690,2618,5080,6849
58,10447,4860,9558,5597,6831,2709,3480,5743,2132,3443,3539,3985,7103,16722,2642,5231,6925
59,10518,4969,9587,5620,7022,2728,3517,5759,2155,3468,3562,3994,7149,16818,2672,5350,7146
60,10641,5258,9634,5625,7298,2773,3569,5781,2163,3482,3632,4047,7239,16957,2682,5489,7311
61,10678,5324,9648,5773,7410,2812,3595,5848,2201,3511,3679,4069,7309,17382,2727,5551,7644
62,10764,5361,9668,5815,7620,2868,3643,5891,2215,3536,3743,4142,7335,17476,2772,5882,7759
63,10949,5401,9689,5949,7680,2924,3662,5921,2233,3574,3785,4202,7345,17505,2837,6003,8225
64,11274,5423,9707,5996,7849,2955,3722,5974,2259,3668,3876,4237,7351,18440,2867,6205,8308
65,12146,5522,9741,6169,7878,2980,3757,6067,2287,3733,3939,4346,7480,18795,2976,6334,8657
66,12446,5543,9747,6198,8135,2985,3802,6091,2319,3763,4026,4360,7502,19020,2986,6374,8973
67,13243,5600,9788,6206,8181,3010,3883,6210,2320,3837,4061,4632,7608,19306,3062,6403,9209
68,13340,5680,9838,6324,8305,3030,3894,6287,2336,3861,4228,4720,7721,19459,3201,6472,9618
69,13788,5799,9947,6340,8500,3045,3924,6513,2337,3894,4367,4869,7858,19746,3232,6582,9774
70,13953,5860,10008,6580,8577,3055,3941,6568,2344,3909,4591,4985,7903,19781,3324,6658,10145
71,13989,5938,10137,6644,9130,3066,4042,6625,2351,3936,4711,5032,7952,19856,3344,6818,10285
72,14789,6217,10161,6673,9153,3085,4070,6854,2352,3983,4786,5175,8034,19879,3432,6929,10568
73,14869,6265,10168,6702,9259,3086,4146,6921,2365,4132,4853,5250,8158,19938,3541,6968,10646
74,16257,6446,10201,6719,9279,3100,4185,7125,2374,4191,4893,5349,8213,19950,3564,7199,11059
75,16495,6593,10212,6798,9423,3101,4192,7178,2404,4206,4915,5369,8244,19990,3691,7254,11179
76,17610,6632,10239,6806,9606,3165,4307,7407,2426,4287,4942,5473,8251,20058,3733,7352,11334
77,17633,6676,10251,6850,9692,3205,4322,7498,2588,4370,4961,5515,8254,20283,3901,7476,12503
78,17765,6689,10262,6877,10047,3386,4426,7684,2611,4395,4995,5750,8271,20479,3924,7776,13067
79,17919,6917,10300,6905,10097,3497,4447,7756,2660,4411,5002,5801,8310,20588,3985,7915,14445
80,17955,6961,10304,6919,10271,3637,4479,7786,2680,4507,5061,5849,8315,20958,4010,8316,14715
81,17971,7054,10343,6993,10363,3841,4522,7994,2705,4525,5073,5887,8360,21172,4109,8408,15247
82,17979,7136,10350,7043,10617,3873,4545,8094,2715,4555,5150,5944,8461,21579,4347,8637,15725
83,17993,7283,10409,7091,10905,3929,4554,8122,2724,4586,5155,5951,8533,22343,4428,9186,16324
84,18011,7369,10486,7148,11018,3963,4576,8188,2876,4645,5164,5977,8592,22528,4537,9211,16922
85,18023,7441,10639,7176,11060,3997,4607,8252,2895,4726,5182,6056,8617,23380,4560,9307,17037
86,18029,7640,10711,7350,11171,4037,4613,8265,2964,4739,5233,6073,8734,23441,4617,9372,17624
87,18069,7651,10820,7378,11330,4141,4689,8282,3006,4759,5315,6100,8830,23530,4662,9433,17724
88,18127,7827,11129,7432,11400,4297,4743,8347,3076,4785,5343,6219,8924,23646,4753,9493,17984
89,18153,7849,11141,7489,11604,4302,4767,8368,3101,4876,5470,6234,8968,23659,4822,9510,18043
90,18252,7978,11217,7511,11692,4433,4802,8383,3135,4917,5543,6301,9061,23691,4845,9548,18488
91,18264,8097,11251,7659,11923,4444,4810,8388,3209,4981,5641,6335,9088,23901,4964,9586,18851
92,18401,8338,11362,7665,11985,4495,4841,8395,3224,5103,5701,6512,9211,23954,4980,9788,19334
93,18416,8436,11395,7778,12194,4565,4844,8412,3232,5208,5833,6528,9417,24216,5069,9878,20004
94,18608,8565,11460,7817,12334,4595,4858,8438,3248,5268,5894,6773,9527,24344,5089,9909,20048
95,18693,8806,11490,7874,12378,4661,4868,8460,3283,5309,5947,6890,9775,24598,5132,9935,20638
96,18757,8874,11561,7897,12480,4674,4938,8484,3309,5473,6096,6992,9931,24862,5182,9967,20798
97,18995,8907,11612,7923,12574,4795,4977,8492,3336,5554,6133,7072,10050,24971,5241,10055,21449
98,19063,8967,11723,8027,12610,4814,4991,8507,3340,5792,6261,7210,10227,25211,5328,10088,21791
99,19451,9134,12066,8030,12637,5033,5021,8569,3346,5832,6332,7341,10273,25416,5405,10116,21894
100,19499,9227,12142,8149,12798,5047,5040,8621,3470,5862,6382,7398,10371,25595,5604,10146,21941
101,19595,9302,12407,8160,12890,5123,5081,8686,3479,5888,6400,7455,10407,25756,5653,10212,21954
102,19638,9325,12510,8267,12920,5161,5090,8750,3558,5959,6450,7562,10471,25802,5814,10232,22044
103,19708,9337,12819,8315,13064,5270,5159,8832,3577,6011,6517,7653,10505,25886,5844,10342,22113
104,19737,9419,13080,8404,13099,5310,5209,8946,3627,6058,6575,7671,10598,26019,5889,10434,22371
105,19761,9447,13277,8421,13328,5355,5287,9005,3707,6125,6676,7711,10636,26051,5936,10453,22402
106,19787,9519,13401,8421,13358,5389,5316,9259,3776,6134,6736,7797,10675,26142,6044,10461,22459
107,19806,9531,13433,8423,13603,5395,5343,9308,3871,6175,6772,7861,10699,26429,6147,10467,22511
108,19918,9571,13560,8424,13662,5441,5376,9456,3898,6208,6782,7983,10824,26527,6212,10488,22801
109,19981,9638,13596,8470,13730,5464,5390,9531,4089,6247,6816,8039,10929,26780,6371,10522,22880
110,20032,9789,13770,8491,13833,5531,5445,9734,4120,6362,6829,8117,10951,26912,6392,10564,23099
111,20070,9977,13852,8607,13871,5548,5461,9893,4281,6438,6848,8139,11033,27114,6422,10613,23209
112,20189,10090,13958,8651,13921,5606,5489,10041,4363,6566,6855,8189,11061,27356,6474,10838,23278
113,20277,10220,14034,8734,13957,5648,5509,10441,4432,6608,6888,8195,11122,27508,6524,10876,23457
114,20446,10297,14090,8776,14152,5687,5536,10565,4461,6753,6906,8255,11159,27733,6565,11026,23494
115,20641,10374,14145,8821,14213,5706,5680,10713,4474,6774,6929,8288,11271,27855,6618,11081,23717
116,20769,10399,14163,8880,14377,5728,5683,10785,4561,6846,6976,8307,11407,28177,6778,11227,23766
117,21091,10472,14232,8922,14407,5819,5771,11103,4589,6918,6988,8352,11423,28258,6832,11314,23931
118,21189,10535,14283,9102,14421,5856,5788,11266,4638,7001,7041,8367,11526,28333,6905,11402,24025
119,21596,10599,14307,9134,14523,5940,5845,11456,4700,7027,7075,8479,11571,28468,6940,11555,24236
120,21719,10987,14326,9277,14559,5960,5873,11528,4821,7063,7143,8541,11626,28615,7001,11604,24410
121,21930,11117,14368,9330,14677,5963,5908,11626,4931,7114,7280,8640,11661,28857,7072,11842,24494
122,22073,11305,14454,9369,14721,5981,5967,11907,4996,7183,7323,8674,11704,28939,7175,11893,24535
123,22139,11406,14505,9510,14882,5999,5980,12001,5041,7347,7507,8734,11720,29206,7248,12076,24562
124,22264,11867,14667,9571,14974,6011,6057,12118,5072,7471,7592,8925,11756,29269,7354,12130,24605
125,22297,12117,14778,9683,15123,6041,6090,12201,5107,7668,7729,9015,11776,29484,7515,12243,24653
126,22349,12271,14967,9729,15238,6056,6220,12388,5121,7818,7780,9202,11802,29608,7622,12342,24852
127,22393,12390,15151,9806,15330,6098,6249,12572,5175,7974,7863,9253,11840,29717,7854,12401,24942
128,22492,12479,15231,9861,15419,6199,6431,12722,5201,8181,7969,9383,11852,29923,7959,12602,25096
129,22695,12656,15289,10016,15519,6227,6489,12826,5280,8368,7993,9450,11887,30015,8305,12680,25284
130,22872,12703,15390,10147,15724,6243,6519,12894,5394,8617,8100,9571,11918,30207,8472,12865,25415
131,23034,12807,15695,10257,15868,6322,6604,13020,5508,8757,8156,9732,11953,30350,8624,12955,25663
132,23111,12998,15863,10472,16167,6330,6649,13130,5652,8884,8268,9763,11958,30584,8701,13080,25712
133,23650,13163,16296,10569,16270,6365,6707,13250,5676,9136,8331,9838,12004,30642,8790,13149,25835
134,23959,13440,16622,10689,16430,6386,6719,13470,5787,9216,8461,9917,12059,30803,8983,13222,25876
135,24669,13668,16876,10768,16636,6429,6738,13668,5839,9256,8548,10176,12117,30915,9066,13383,25981
136,24925,13725,17131,11028,16800,6480,6797,13955,5883,9304,8665,10261,12196,31057,9219,13444,26096
137,25439,13818,17417,11174,17128,6584,6815,14062,5915,9361,8867,10387,12238,31229,9302,13613,26133
138,25876,14099,17897,11327,17283,6666,6831,14139,5939,9411,9007,10456,12357,31345,9458,13702,26263
139,26326,14463,18110,11429,17560,6713,6837,14236,6046,9468,9202,10584,12420,31471,9556,13866,26327
140,27060,15004,18354,11446,17691,6854,6902,14441,6098,9553,9293,10732,12507,31554,9623,13902,26561
141,27432,15801,18510,11459,17929,6937,6941,14582,6268,9616,9536,10811,12589,31933,9712,13995,26668
142,28163,16441,18730,11489,18069,7058,7113,14850,6341,9694,9709,10984,12688,32028,9758,14132,26932
143,28528,17386,18986,11535,18350,7119,7165,15059,6477,9772,9827,11056,12774,32157,9962,14243,27087
144,28843,17690,19197,11563,18460,7210,7220,15154,6582,9937,10011,11188,12852,32242,10086,14454,27224
145,28897,18443,19548,11630,18616,7259,7281,15280,6723,9993,10081,11234,13054,32458,10347,14682,27362
146,29019,18908,19579,11711,18923,7291,7365,15443,6869,10152,10219,11273,13164,32655,10531,14994,27494
147,29085,19410,19901,11847,19001,7359,7478,15845,6978,10237,10288,11391,13420,32774,10699,15184,27815
148,29132,20042,20093,11956,19218,7417,7521,16027,7071,10352,10456,11488,13516,32985,10888,15390,28006
149,29349,20878,20465,12003,19372,7544,7708,16391,7178,10453,10564,11745,13693,33087,10956,15552,28417
150,29486,21944,20681,12220,19578,7640,7756,16505,7317,10606,10690,11859,13893,33260,11207,15810,28644
151,29612,22367,21027,12355,19877,7704,7895,16571,7382,10864,10736,12130,14062,33381,11270,16050,28915
152,29853,22833,21279,12590,20101,7768,7955,16690,7470,11026,10870,12234,14348,33537,11494,16246,29183
153,30382,23153,21614,12834,20407,7866,8077,16809,7576,11400,10939,12392,14494,33742,11594,16551,29287
154,30924,23598,22219,13136,20577,7919,8263,17075,7687,11585,11005,12599,14812,33912,11677,16646,29454
155,31422,23915,22588,13274,20934,8014,8370,17308,7827,11835,11111,12854,14976,34079,11818,16843,29580
156,32001,24620,23061,13420,21141,8185,8522,17539,7969,11905,11161,13197,15231,34259,11896,16998,29943
157,32363,25479,23343,13648,21470,8339,8625,17706,8128,12037,11252,13443,15418,34620,12166,17268,30185
158,33244,26058,23816,13859,21689,8498,8821,17908,8266,12154,11339,13807,15507,34722,12395,17428,30371
159,33598,27456,24268,14130,22014,8670,8932,18061,8453,12439,11456,13952,15635,34897,12719,17630,30598
160,34321,28234,24697,14355,22550,8848,9032,18283,8566,12724,11651,14308,15778,35010,12912,17917,30812
161,34538,29680,25268,14700,22789,8960,9080,18581,8697,13000,11802,14538,15946,35117,13175,18047,31056
162,35282,30242,25656,14876,23152,9123,9202,18892,8769,13285,12052,14920,16107,35315,13339,18246,31339
163,36164,31645,26190,15088,23453,9314,9303,19327,8898,13394,12208,15245,16341,35452,13450,18434,31664
164,36717,32606,26495,15373,23944,9491,9390,19696,9049,13746,12588,15538,16590,35603,13717,18716,31894
165,38117,33391,26990,15578,24295,9657,9515,20206,9214,14100,12800,15957,16818,35720,13933,18919,32285
166,38624,34390,27424,15829,24803,9856,9612,20479,9439,14247,13067,16197,17066,36019,14300,19135,32570
167,39567,35296,27900,16028,25334,10103,9639,20931,9600,14577,13273,16593,17298,36267,14538,19383,32967
168,40298,37097,28331,16415,25767,10200,9709,21213,9900,14863,13455,16828,17640,36608,14928,19565,33288
169,40885,37995,28754,16596,26235,10441,9829,21501,10097,15107,13684,17034,17886,36868,15101,19790,33546
170,41702,39594,29182,16952,26634,10617,9937,21878,10300,15312,13914,17198,18184,37115,15340,19951,33821
171,42434,40005,29402,17244,27405,10831,10151,22245,10435,15560,14180,17444,18370,37334,15612,20319,34129
172,43382,40487,29721,17525,27964,11062,10290,22720,10687,15749,14356,17887,18692,37520,15895,20579,34653
173,43828,41296,29961,17931,28771,11247,10431,23039,10952,16021,14714,18152,18934,37896,16312,20878,35011
174,44700,42746,30182,18271,29412,11467,10659,23599,11171,16268,14932,18452,19261,38103,16567,21251,35376
175,45363,44711,30435,18758,30107,11600,10780,24036,11393,16434,15260,18687,19616,38493,16945,21561,35625
176,46480,45680,30751,19012,30596,11807,10968,24740,11563,16744,15586,19189,19947,38762,17087,21867,36054
177,47456,46953,31010,19291,31287,11991,11124,25285,11766,16962,15893,19540,20386,39165,17404,22158,36394
178,48388,48317,31203,19532,31881,12240,11361,25787,11955,17322,16342,20019,20700,39455,17657,22596,36695
179,49704,49868,31311,19905,32369,12446,11644,26448,12212,17666,16592,20293,20976,39768,18008,22938,37189
180,50520,51113,31669,20356,33108,12746,11909,26935,12473,18177,16968,20545,21202,40186,18194,23376,37552
181,52082,52546,32169,20725,33680,13090,12134,27493,12764,18598,17152,20857,21414,40465,18382,23706,37936
182,53098,54556,32546,21198,34240,13278,12317,27902,12984,19143,17366,21162,21697,41051,18727,23993,38146
183,54687,55732,33081,21388,34694,13684,12697,28557,13171,19551,17564,21605,22077,41365,18975,24246,38576
184,55752,58005,33492,21511,35285,13978,12964,29056,13417,19885,17784,21935,22411,41884,19312,24569,38883
185,57038,58900,33896,21698,35947,14328,13290,29718,13533,20316,18132,22387,22641,42219,19637,24927,39235
186,58283,60658,34353,22015,36609,14659,13472,30251,13758,20700,18405,22875,22819,42558,20174,25228,39515
187,59291,61585,34696,22350,37340,15081,13701,30646,13944,21306,18789,23350,22855,42969,20605,25570,39736
188,60623,63415,35648,22695,38090,15475,13960,31449,14149,21582,18980,23654,22966,43255,21038,25870,40063
189,61625,65192,36351,23170,39003,15727,14214,31840,14277,22133,19339,24180,23045,43694,21543,26143,40320
190,63640,66426,37307,23626,39806,16181,14481,32571,14430,22408,19597,24667,23331,43998,21981,26427,40504
191,64925,67248,37831,24277,40530,16657,14753,33232,14599,22787,20043,25029,23736,44504,22424,26798,40785
192,66699,67917,38788,24843,41215,17359,15124,33696,14723,23110,20548,25576,24074,44925,22796,27198,41244
193,68440,68987,40127,25727,41949,17972,15463,34121,14894,23442,20979,25889,24444,45328,23475,27553,41851
194,69993,69683,41259,26425,42993,18643,15781,34511,15037,23793,21487,26191,24716,45791,24019,28052,42227
195,72197,71398,42671,27368,43720,19295,16268,34914,15274,24109,21803,26668,25186,46175,24706,28384,42684
196,73842,72596,43663,28341,44365,19760,16604,35203,15407,24531,22168,27150,25530,46936,25188,28765,43044
197,75727,74425,45540,29109,44857,20564,16831,35941,15568,24780,22466,27683,26186,47518,25847,29045,43492
198,76517,76440,46645,29801,45387,21099,17027,36151,15758,25154,22950,27950,26462,48375,26489,29518,43855
